,original_idx,text
33,33,"A afronta aos portugueses não pára!
 #PNR #Portugal #Imigração"
34,34,A agência LiveAD São Paulo adquiriu 40 exemplares do livro MeuAmigoSecreto: Feminismo além das redes para...
35,35,A Alemanha tornou a sentir os “benefícios” dos (i)”migrantes” da invasão islâmica.
36,36,"A 1a mão foi no Dia dos Namorados,a 2a calha no Dia da Mulher.
O Benfica-Dortmund foi criado para testar os relacionamentos dos benfiquistas"
37,37,"A ameaça do terrorismo radical islâmico é bem real, veja o que acontece na Europa e no Oriente Médio. Os tribunais _"
38,38,A AMPLA MAIORIA SÃO UNS RETARDADOS SÓ FALAM MERDA E SÓ GANHAM FAMA PORQUE OS JOVENS SÃO COMO ELES: DÉBEIS MENTAIS _
39,39,Ora bem... já está a perder a linha. O verniz dos 'tolerantes' acaba sempre por estalar.
40,40,A atenção finalmente está voltada aos infiltrados desocupados! Eles serão pegos!
41,41,"A avaliar pela quantidade de malta conhecida que morreu em 2016, o 'In Memoriam' deste ano é coisa para durar umas 9 horitas na boa
#Oscars"
42,42,"Abaixo, apenas alguns exemplos de manifestação a favor do direito ao orgulho hetero."
43,43,"A bazófia de Jesus é tão grande que, para não assumir os seus erros, até abafa o Palhinha!..."
44,44,"abdnsndnns ela vai sair de burca pra não mostrar a cara, não quero ninguém encima dela"
45,45,Aberração é um adulto impor às crianças a flácida relação da ideologia de gênero: Nada é o q parece ser. #nãoàideologiadegênero
46,46,Abertas as inscrições III Festival de Dança que acontecerá em abril na Estação Cabo Branco
47,47,Abismo da desigualdade e injustiça. #RenovarPortugal #Portugal
48,48,"A bomba encontrada na Nazaré foi logo detonada, já a do Panamá está quase há um ano, no Expresso, à espera da brigada de minas e armadilhas."
49,49,Aborto é crime repugnante contra uma vida tão frágil e indefesa.
50,50,"abri a janela tava uma gorda no apartamento da frente olhando pra baixo e chorando, acho que caiu a empadinha dela"
51,51,heueheueheu eu fiquei achando que o branco era arroz tb mas não faço ideia (e olha que gosto de açaí)
52,52,A Burra da mulher esqueceu o celular no ônibus e ta chorando aqui no busão queria não rir
53,53,"Acaba de chegar a Redacao da Radio Angola a seguinte informacao:
Pedro Gonga: Já Estou em Liberdade, mas não foi..."
54,54,"Acabámos de adicionar mais uma data à tour de 'Overdose de Tourette':
11 Fev - Covilhã.
Bilhetes aqui:"
55,55,"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _"
56,56,"Acabei de comemorar o dia Internacional da Mulher... lavando a louça!
#DiadaMulher"
57,57,Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte. Rsss
58,58,"Acabei de ouvir uma cigana dizer q 'os chineses são um povo sujo e sem higiene q vive e dorme em qualquer lado'.
O cliché morreu hj às 16h09"
59,59,"Acabei de ouvir um casal com rastas dizer isto:
'As pessoas passam por nós e dizem que cheiramos mal...pffff...elas é que cheiram a champô!'"
60,60,acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil
61,61,Acabo de nomear o general H.R. McMaster como Conselheiro de Segurança Nacional.
62,62,A cada 'feliz dia da mulher menos pra feminista' eu vejo o quão burra é a sociedade
63,63,A cadeira com o copo certamente é do lula
64,64,A caminho da Base Militar Andrews com o Primeiro Ministro Shinzo hoje mais cedo.
65,65,"A campanha continua...#EducacaoSemIdeologiaDeGenero.
 .Acesse e adquira dois livros de..."
66,66,A CARA DA FEIA DA VIVIAN E DA GORDA DA ROBERTA SÃO AS MELHORES COISAS ESSE MOMENTO EH MEU #BBB17
67,67,a cara da gorda feia da Roberta #bbb17
68,68,"Acções do #PNR #Oeiras e #Cascais
 #Portugal"
69,69,"Aceitei trocar o Benfica por um jantar romântico com a minha namorada, desde que ela pagasse a gasolina. Amanhã, lá estarei na Catedral."
70,70,"ACEITE OS CHIFRES
#JoaquinResponde"
71,71,"A censura democrática é a pior delas todas porque é arbitrária, hipócrita e cobarde. Finge não existir, mas existe!"
72,72,Acham que ser BANDIDO é ser machista ? to entendendo a logica feminista agora. Toda atitude de bandido cometido por _
73,73,achei essa pagina
74,74,"Achei um cabelo branco, sinto que os anos de tintura estão chegando."
75,75,acho engraçado que vcs falam mal do Ustra mas idolatram Che
76,76,"Acho irónico que uma mulher que ajudou a NASA a andar para a frente, esteja numa cadeira de rodas
#Oscars"
77,77,"Acho mal que não tenham metido a carreira da Bárbara Guimarães neste 'In memoriam'
#Oscars"
78,78,Acho mó engraçado o galero que tenta chamar atenção fznd piadinha burra sobre o dia da mulher
79,79,"Acho muito legal as feministas que compartilham coisa do quebrando o tabu e chamam as outras de gorda, feia e briga por macho, parabéns p vc"
80,80,Acho q a menina do restaurante da frente é sapatão kkkkkk fica me olhando
81,81,Acho que agora ela se perdeu de vez..Kkkkkkkkk que dó....
82,82,"Acho que a Morango tem um céu so pra ela rsrs Nossa, eu tô em Sampa! Aqui n B Vista tá nubladim e meio frio..."
83,83,acho que a Simone depende mais do natal pra sobreviver que o Papai Noel
84,84,Acho que a veja aceitou que realmente não faz jornalismo
85,85,"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta"
86,86,acho que nem vou gozar mais até #ESeFosseConsigo
87,87,acho que o cara da redação do Enem deveria perder pontos pq não ficou claro o sabor do miojo
88,88,Acho que tatuagem colorida só fica bonito em gente muito branca!!!
89,89,Acho que vou... ai que preguiça de dormir... xerus!
90,90,Acho que vou pegar carona com a e mimir
91,91,"ACHO RIDÍCULO, MAS RESPEITO, NÃO SOU HOMOFÓBICO"
92,92,"'Acho seus argumentos ridículos, não mudarão minha opinião, mas eu não consegui refutar nem uma linha'
Resumo: 'Eu _"
93,93,"A cidade de Viseu já está preparada para nos receber na 5a feira.
Despachem-se a garantir a vossa presença.
Vai ser _"
94,94,"A e a são desde hoje,os nossos parceiros de media oficiais.
Isso significa conteúdos exclusivos _"
95,95,"Acima de tudo, uma vitória esmagadora da classe"
96,96,"08:41 #ações_preventivas local Castelo Branco, Centro, #Abelardo_Luz, descrição: atividade tecnica (vistorias)"
97,97,A coisa q mais me da odio na vida é mulher machista. Qnd escuto alguma falando merda fico com mt abuso - pq odeio gnt burra e ignorante tb
98,98,A Comissão Europeia afirmou que não hesitará em aplicar sanções contra os países que se recusam a receber...
99,99,"Acompanhe minhas agendas sobre Ideologia de Gênero, em todo País."
100,100,Acorda pra trabalhar ae cambada de vagabundo
101,101,Acordar e ler uma notícia dessas.Isso não é mãe é um monstro. Que inversão de valores meu Deus.
102,102,quer defender os amigos BANDIDOS e CORRUPTOS do partido. Como podemos aceitar isso sem ficar P da v _
103,103,"A corrida pela liderança do CND foi obviamente 'armação'. A escolha de Bernie, como ele próprio, nunca teve chance. _"
104,104,a cota de negro aumentou nesse BBB né
105,105,"A CP está a recrutar revisores e um dos requisitos é saber falar espanhol.
Talvez fosse mais importante contratar pessoas que saibam crioulo"
106,106,Acredite se quiser: Existe agora 'agefluid' - faz parte da ideologia de gênero provavelmente - que faz parte do ati _
107,107,A prova: não importa se Jair não é preconceituoso. É apenas + 1a q se enquadra na moda atual de difama-lo _
108,108,A CRIMEIA foi ocupada pela Rússia durante o governo Obama. Será que Obama foi muito bonzinho com a Rússia?
109,109,ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE
110,110,a culpa do brasil estar do jeito que tá é única e exclusivamente da dilma
111,111,A culpa é das estrelas vermelhas
112,112,A culpa é de não ter tirado antes
113,113,"Acusações de estupro, assédio ou agressão podem arruinar a vida de um homem'.
Ata."
114,114,eu tenho conhecimento dessa doutrinação nas escolas... Uma triste realidade no Brasil e no mundo!
115,115,"vdd... nem conheci mas já dei block.... 
pessoa assim quero longe"
116,116,Ades patrocina nova versão da Branca de Neve http://t.co/vWxZjXNw4y
117,117,"Adeus #Obama! 
'Faça boa viagem!'."
118,118,Adicionei um vídeo a uma lista de reprodução do Angola & China vs EUA (A verdade que você não
119,119,Adicionei um vídeo a uma playlist 'Islão não é para mim'
120,120,A diferença de quem tem vergonha na cara vs vagabundo
121,121,"A diferença entre os Tribunais e as Comissões Parlamentares é que nestas últimas, como não há pobres, nunca há ninguém para condenar..."
122,122,eu acho o msm sobre vc branquelo
123,123,quando branco acha que racismo é coitadismo só me dá mais vontade de continuar com o perfil
124,124,vc quer q eu te chame de q? palmito?
125,125,Adivinha qual a esquerda demoniza e qual a esquerda apoia?
126,126,"adorando essa cerimônia, só nao to entendendo esses monte de país subdesenvolvido no meu estádio"
127,127,"Adoro essa energia daqui. Não gosto de lembrar que vou trabalhar no feriado. Mas, gosto de ter emprego. Então tá ótimo.. rs."
128,128,"Adoro essa frase: 'Viva os loucos, os normais estão acabando com o mundo' #fikdik rs..."
129,129,Adoro estes católicos que se lembram da bíblia e Deus quando é para serem homofóbicos mas depois só o Islão é que é religião de violência
130,130,ADQUIRA AGORA o livro 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO - Como esta doutrinação está sendo introduzida nas...
131,131,"Adquira seu cupom pra dar pro clube do macho. Antes eram 4hs de chibata, agora são 8!! #BlackFriday"
132,132,"Advogado e Deputado? Não pode ser!
 #RenovarPortugal #Portugal"
133,133,"Advogados ABANDONAM a tal moça que acusou Feliciano de abuso...Agora a tal moça,ataca outros deputado, procurador..."
134,134,A e antes de voltar ao mais importante e abrir a minha cerveja matinal: Foda-se !
135,135,#AecioMaisCItadoQue Bolsonaro em discussão sobre idiotas e homofobia :D
136,136,"aeeeee dilma caiu
ja posso viajar pra miami agora?"
137,137,"A Emma Stone podia ir vestida de saco de lixo rodeado de sacos do lixo dentro de um camião de lixo, que nunca estaria mal
#Oscars"
138,138,A entrevista mais longa do Super Bowl com hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se!
139,139,A era em que 'homens' começam a usar cor de rosa
140,140,Aeroporto Mário Soares só faria sentido se fosse na Ota ou em Macau...
141,141,"A esquerda é assim, lamenta a morte de bandidos mas diz 'matou pouco' pra genocidas. Depois do 'Stalin matou foi po _"
142,142,A esquerda em uma palavra? Sujeira. Defendem uma ideologia sanguinária e culpam um sistema que eles mesmo usam. São _
143,143,"A Esquerda é o próprio Zumbi dos Palmares:
Quer libertar os negros de uma escravidão pra escraviza-los em outra"
144,144,A esquerda está morrendo de um Câncer terminal
145,145,"A esquerda fala muito sobre essas rebeliões e justificam a 'superlotação', mas não fala do motivo que fizeram eles irem pras prisões."
146,146,A esquerda faz um monte de merda e a gente é obrigado a ver a mídia chamando a direita de extrema ...
147,147,A esquerda filha da puta como sempre
148,148,"A esquerda gosta de viver na sujeira, gosta do feio e idolatra a burrice. Pichação não é arte, é coisa de vagabundo _"
149,149,"A esquerda inventa o problema, incute na cabeça das pessoas que o problema existe, repete a mentira até que acredit _"
150,150,"A esquerdalha #comunista e #anarquista sempre foi, é, e será uma escumalha selvagem, carregada de ódio e violência _"
151,151,"A esquerdalha (protegida pelo sistema e pelos media), no seu melhor, a mostrar a tolerância que defende.
#Nantes _"
152,152,"A esquerda reclama das coisas inventadas pela própria esquerda:
Racismo, homofobia, machismo, nazismo, cultura de estupro e luta de classes."
153,153,"A ética da imprensa regional contrasta com o cartel da comunicação social de alcance nacional.
Felicito o _"
154,154,"A Europa, muito doente e submissa a estes espectáculos de mariquice nojenta, claro que se torna presa fácil do Islã _"
155,155,A fdp não come carne e quer q vc tb não coma. Chupar meu pau ela não quer
156,156,"6a feira é dia de 'Overdose de Tourette'.
E hoje a caravana pára na ERICEIRA.
Auditório Jaime Lobo e Silva, 22h.
Is _"
157,157,A feminazi tem a cara de pau de pedir dinheiro em seu blog - mesmo ganhando uma boquinha de 11 mil - v _
158,158,"a feminista pode até dar a alma dela no primeiro encontro, mas por favor #usecamisinha , seja uma puta consciente!"
159,159,"A e seu programa de sexo acham um absurdo as famílias não falarem abertamente de sexo em casa. 
Até pq ela certamente..."
160,160,A Festa do Branco é um evento que promete marcar o Cruzeiro Diamantes 2017. Aqui estão algumas inspirações: _
161,161,Afffffff só por Deus eu te que fica olhando a funça da atual dá minha ex
162,162,Afff... N te dou mais nada http://t.co/hyBYnjtrab
163,163,aff pq vc pinta o cabelo........td mundo sabe q vermelho e loiro só fica bom em tom de pele clara
164,164,Aff só por que não tem negro no oscar agora eles sao racista........ pfvr miga melhore
165,165,"Afinal a Constituição da República feita por estes senhores, serve para quê? É para ser violada?"
166,166,"afinal, a privatização do ensino médio/superior brasileiro e o fim dos projetos sociais que ajudam milhões é o que vai levantar o país"
167,167,AFINAL O TIME DO PRESÍDIO PRECISA DE GOLEIRO...
168,168,A força do sonho
169,169,A forma como você se vê não altera o que você é de fato!
170,170,"Ixi, amiga.. marron.. marromenos.. termino de namoro, foda ne"
171,171,"Nem eu, amiga.. nem eu. e como ela diz: #eavidasegue"
172,172,"ooowwww, amorrr, ja chegou???"
173,173,Quero saber tudooo como foi o diaaaa!
174,174,"Sei lá, inventei agora.. #catita hahaha"
175,175,#Abril. Seminário sobre Ideologia de Gênero.(Com certificado) 08 e 09 Abril. #Ariquemes/RO.
176,176,Agenda actualizada para os próximos meses:
177,177,"#Agenda 11,12 e13 de Março/SP. #CongressoEvangelizarKids Informações:
Igreja Batista do Povo, _"
178,178,#AgendaMaio Palestra sobre identidade de gênero.(Ideologia de Gênero) #SãoLuizMaranhão
179,179,"#Agenda Março 18 e 19.
 Simpósio sobre Ideologia de Gênero."
180,180,Agenda Março . Ideologia de Gênero.
181,181,"Agenda para os próximos tempos.
Bilhetes na FNAC e Ticketline"
182,182,Agenda #SãoPaulo 11/03. Congresso Evangelizar KIDS. Igreja Batista do Povo.
183,183,Agendas dias 18 e 19 de Março em #Campinas/SP. Simpósio de Ideologia De Genero e Cultos familiar.
184,184,"Agende seminário ou palestras para liderança, jovens e igreja geral sobre Ideologia de Gênero. 
Com 5 livros..."
185,185,a gente mulher e um ser humano mais burra acreditar que ainda possa. ter amor verdadeiro
186,186,"a gente nao sabe se a mulher ta feliz de burca, nao sabe se é tranquilo p travesti ta com aquela roupa etc etc etc"
187,187,o cara que escolhe foto é muito fanfarrão
188,188,A fazer greve...não trabalhar..É um alívio para o BRASIL... já que ela só faz atrapalhar o país mesmo. Devo _
189,189,"A globo mentiu para o futebol feminino. E a mulherada, como sempre iludida, acredita. Tudo normal"
190,190,"A #globo só mostra as 'belezas e o amor' do carnaval.Mas, se quer saber a verdade, liga na que está mostrando tda Violência"
191,191,"A Gloria Alvarez arrebenta!
O discurso dela na CPAC 2016 foi sensacional!"
192,192,"2) O fato de o cidadão de bem passar a portar uma arma não o transformará em bandido.
Crime é questão de índole!"
193,193,"Agora deu 'tilt' no , a AMEBA que teve a cara de pau de comparar Trump com Hugo Chavez."
194,194,agora é oficial: os dinossauros estão extintos
195,195,Agora é só umas gordas feias pra caralho
196,196,Agora não entendo mais nada branco não pode namorar com negra ? Ue ? Mais vão termina o colégio e pega uma vaga no Mac!!! Valeu
197,197,"Agora os novos refugiados já não são por causa da guerra, são até chamados 'refugiados económicos ', como sempre foram, não fugiram de nada"
198,198,Agora pareço aqueles gajos que se viram para as fufas e dizem que ela são fufas pq nunca experimentaram pila (????????) Lol
199,199,agora que a dilma vai sair quem assume é o aécio né??
200,200,"... Agora refugiados com uma ideologia e Cultura completamente INCOMPATÍVEIS com as nossas, aí não tem como mesmo!"
201,201,agora sim esse latinos imundos vão parar de tentar entrar nos EUA #Trump
202,202,Agora sim está correto abraço #paz
203,203,AGORA SIM EU ASSUMO http://t.co/UzOwKrxdOy
204,204,Agora sim pode usar perfume - http://www.youtube.com/watch?v=_wx6DP99bYE
205,205,"Agora sim LISBOA, estamos prontos para começar"
206,206,Agora tá na moda colocar a culpa nos países do OM. Não se engane e aos outros.Quem produziu REFUGIADOS foram EUA e OTAN .
207,207,agora tudo é apropriação cultural não pode nem usar turbante mais
208,208,agora tudo faz sentido
209,209,Agora vc pensa: Uma cidadã que não cuida da sua própria filha querer impor em sala de aula o que deve ser ensinado ao meu filho? Um absurdo.
210,210,"Agradece-se esse empurrão vindo do outro lado do Atlântico para dar o golpe de misericórdia na famigerada 
#BREXIT #PEXIT"
211,211,A grande imprensa e a população esquerdista mostram o quão democráticos são ao sequer deixar Trump COMEÇAR a trabalhar!
212,212,A grande questão aqui é por que há tantos furos ilegais vindo de Washington? Haverão estes furos quando eu negociar _
213,213,"A greve dos Estivadores
 #PNR"
214,214,"Aguarela com muitos anos.
#Salazar"
215,215,água ser essencial é coisa de maricas. Cerveja é essencial !
216,216,"ahahaha ..as musas de direita destroem qualquer petista, como a gleisi hoffman"
217,217,A hipocrisia esquerdista em sua mais alta essência aqui. Somos nós que temos ódio ? VAI DAÍ PORRA
218,218,ah lá o filho do porteiro passou no enem
219,219,"'ah mas artista tal eh gorda, ela eh feia. tem tanto dinheiro e n melhora' TE FODE GAROTA NÃO EH PQ ELA EH FAMOSA Q ELA TEM Q SER PERFEITA"
220,220,"Ah, o perigo do Islão, e tal, e a civilização europeia, e não sei quê."
221,221,"Ah, porque o nacionalismo deste gajo é económico e é tão económico quanto o do PCP. Com a diferença de o PCP não querer Angola de volta."
222,222,"Ah, valente! E para a mortalidade infantil em Angola, não vai nada, oh isabel?"
223,223,"'Ah você não tem dó dos presidiários'
Deles não tenho mesmo não, tenho das vítimas que fazem."
224,224,A identidade não se vende
225,225,A ideologia de gênero chegou no seu mais alto grau de insanidade. Qual é sua identidade de gênero? ALIENÍGENA..OK...
226,226,"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER"
227,227,"“ai, luigi, mas vc ta militando? q saco”
.
pois é pq eu entendo os privilégios que eu tenho por ter nascido homem branco"
228,228,"A imagem que define o que são esquerda e direita:
Esquerda = vagabundo mascarado.
Direita = patriota com a bandeir _"
229,229,Ai meu deus como é bom ser vida loka
230,230,"A imprensa sempre do lado dos bandidos. 
Pra quem ainda tinha alguma dúvida:"
231,231,"Aí não é ''suspeito'', né seus VAGABUNDOS!?!! É 'comprovado'. 
Mas se for bandido ATIRANDO contra PM em carro ROUB _"
232,232,"Ainda a propósito do e afins, aqui ficam palavras alguém do próprio sistema: Pacheco Pereira. _"
233,233,"Ainda bem q ontem a FIFA n atribuiu o prémio 'fair-play' à Chapecoense.
Temos de parar de premiar equipas cujos jogadores se atiram p o chão"
234,234,ainda bem que eu sou sapatão e não preciso disso
235,235,"ainda bem que o crivella ganhou, imagina só o rio com droga legalizada, sem PM e aborto liberado???"
236,236,Ainda bem que o STF soltou o goleiro BRUNO.. agora sabemos a FALTA de moral que tem.... caso do Bolsonaro é mais uma piada do STF #vergonha
237,237,"ainda bem que o trump ganhou imagina só o mundo sem nenhuma guerra e preconceito???? nossa muito chato 
NÓS QUER É BOMBA NA COREIA"
238,238,ainda estou surpreendida com a cara de sapatão dessa camilinha
239,239,Ainda não acredito que não estarei em #Recife dia 24/07 no #oquartosecreto com a . Serio! Saco! #boloderolofeelings
240,240,"ainda que eu falasse a lingua dos homens e dos anjos, usaria ambas pra denegrir sua imagem"
241,241,"ainda tem tráfico pq tem gente que compra
se a compra voltasse a ser crime tudo estaria em harmonia"
242,242,"'ain mas de repente nem foi assim'. Mano, pq vcs acham q eu postei isso sem ler o texto? É um apelo à meritocracia q nem diz o título."
243,243,"- 'Ain o Dória está indo bem nesse últimos 2 meses,se ele candidatar para presidente pelo PSDB em 2018 votaria nele _"
244,244,A internet é nossa! As Feministas/e cia infiltradas nos órgãos da Justiça buscam combater essa crescente por meio da censura via justiça.
245,245,A intoxicação e mariquice mental da ditadura do relativismo anulam os valores e enfraquecem as vontades. Depois são _
246,246,Ai q gostoso a Cléo Pires fumando um e publicando na NET pq o privilégio branco e de classe eh tão lindo *_*
247,247,ai que saudade da ditadura............
248,248,ai socorro jesus deixa essa mulher no programa por favor só pra gente ouvir ela botar conceitos físicos na cozinha #MasterChefBR
249,249,ai tem muito preto no bbb nem vo assistir kkk
250,250,Aí #TheWalkingDead deixa de ser sobre zumbis e vira jogos mortais
251,251,Ai vc chega no colegio super cansada do trabalho e curso e encontra o grupinho das sapatao falando de ex. Se uma coisa que sapatao tem é ex.
252,252,A é sensacional!
253,253,e era de direita.... essa menina tem transtorno de personalidade ou algo pior...
254,254,"isso! A mulher não precisa ser obrigatoriamente feminista para ser mulher , porque a maioria não comp _"
255,255,isso é coisa de seres humanos!
256,256,"Ju, você tá mais corada! Andou pegando uma praia!!!"
257,257,me senti segura nesse dia
258,258,"nao esqueça que ele quer receber refugiados de guerra, vai islamizar o brasil"
259,259,Novo filme: 'O Curioso Caso de Quem Sempre Atacou A Igreja Católica e o Cristianismo Mas Agora Defende o Papa Francisco'
260,260,Pra ser mulher hoje em dia e aguentar o movimento feminista...tem que ser muito macho. kkkkk
261,261,"que nada, aqui na quebrada a molecada é arisca hahahahaha"
262,262,que não é caso da brasileira..porque com 5 kg de cocaína..é o peso de um bulldogue frances
263,263,A Justiça tem que estar ao serviço de todos e não à mercê de privilégios de uns quantos.
264,264,"ALÔ FEMINISTA:
ATÉ A PORTELA VOLTOU
E O SEU PAI NADA"
265,265,"ALÔ FEMINISTAS
ATÉ #JesusEstáVoltando
E O SEU PAI NÃO"
266,266,"ALÔ FEMINISTAS:
ATÉ UM SISTEMA SOLAR RESOLVEU APARECER
E O SEU PAI NADA"
267,267,"ALÔ RAPAZIADA HORA DE DESLIGAR DA REDE SOCIAL
AGORA É SABADÃO: CHURRASCÃO CERVEJÃO E MAIS TARDE PRATICAR AQUELE COITO. ABRAÇO A TODOS #PAZ"
268,268,ALÔ RAPAZIADA: VAMOS RESPEITAR AS DONZELAS SEUS PORCOS BÊBADOS IMUNDOS #PAZ #CarnavalSemAssedio #usecamisinha
269,269,"A Lava-Jato chegou ao Foro de São Paulo e descobriu que Odebrecht dava dinheiro às FARC.
Que lindo trabalho da Pol _"
270,270,"' Seu perfil fala mau de gente branca e eu sou racista? Coerência, cadê?' http://t.co/3LqJR2tN85"
271,271,não é racismo nem machismo esteriotipar uma mulher por causa dolugar que ela nasceu ne claro que não
272,272,"racista-machista sem argumentos, é o que mais tem"
273,273,vc devia calar a boca pq vc é tão racista quanto
274,274,"Tb não entendo.. Concordo com vc.,"
275,275,"Além da tremenda baboseira, a quantidade de erros de português é absurda! Qq meio de comunicação sério teria vergon _"
276,276,é uma questão de hábito
277,277,"por falar em abafar, sabes se o Jesus janta hoje com o Palhinha?"
278,278,vamos ficar por aqui antes que fique excitado.
279,279,"#ALERTA do Jornalista #AlexandreGarcia
 Adquira os Livros 'A IDEOLOGIA DE GÊNERO NA EDUCAÇÃO' e 'FAMÍLIAS EM..."
280,280,"Deixa o chefe Olavo saber disso, rrsss... ST!"
281,281,"#AlexandraParkClub
Este paraíso apenas 40min de Curitiba, no Litoral...
Faça seu Evento (Empresas, Igrejas,..."
282,282,#AlexandredeMorais é novo ministro do #STF. Somente 13 senadores rejeitaram seu nome. 13 PESSOAL.KKK KKKKKKKKK
283,283,eu te amo!
284,284,"Melhor forma de ajudar os refugiados é levar a cultura ocidental pra lá, não o contrário! Só estão espalhando o problema."
285,285,"Alexandre Moraes não deveria sequer ter sido Ministro, agora ocupará uma cadeira no STF? Gsus"
286,286,"Alexandres de Morais, é novo ministro do #STF. Somente 13 senadores votaram contra ele. 13 pessoal.kkkk"
287,287,"Algarvios, a caravana está a caminho.
E o grego do Batáguas também.
Auditório Verde, 22h.
Bilhetes nos sítios do co _"
288,288,Algo que incomoda extremamente a esquerda: uma MULHER que não se vende ao discurso barato politicamente correto do _
289,289,"Alguem aí quer peixe? Pq eu já pesquei vários aqui....
Cheiros a todasssss"
290,290,Alguem coloca uma FACA DE UM MUÇULMANO NO PEITO DA MERKEL...PQ É ISSO QUE ACONTECE PELA ALEMANHA
291,291,Alguém consegue ver #ThisIsUs sem chorar litros?
292,292,Alguém consegue ver um guarda-chuva amarelo e não lembrar de how I met your mother?
293,293,alguém faz a adaptação com a foto da Dilma e os 12 milhões de desempregados!!!!
294,294,Alguém por favor pode passar isso na TL do e dizer que é bom saber como a Esquerda gosta do debate demo _
295,295,Alguém sabe me dizer se mulher negra se aposenta com idade diferente da mulher branca?
296,296,Alguém sabe se o Habibs já abriu falência com o boicote por causa do menino que morreu de tanto usar droga?
297,297,ALGUÉM TEM QUE AVISA ESSA MOLECADA QUE CARNAVAL NÃO Ê SÓ BEBEDERA E PUTARIA SEM PRESERVATIVO COM ESTRANHOS. ONDE FICA O RESPEITO AO PRÓXIMO?
298,298,Alguém topa uma com a cabeça do empalada? Dê fav pra testar
299,299,Algumas razões para explicar o Fenômeno Bolsonaro
300,300,"Alias, isso é uma coisa que algumas mulheres também não sabem e ficam achando que por não gozar com penetração tem algum problema. NÃO TEM!"
301,301,"Aliás, o universo da publicidade é repleto de bundões !!!!"
302,302,"Aliás, pra que ver futebol na COPA se você não vai acompanhar nada nos próximos 4 anos de novo. Deixe quem gosta ver em paz!"
